f,TF,Rs,Ls,Csh,Gsh,C0,G0,CHL,GHL,Case_name
18.87991349,-78.37477617,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.92343619,-78.39486868,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.96705921,-78.41496161,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.0107828,-78.43505498,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.05460718,-78.45514879,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.09853259,-78.47524303,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.14255925,-78.49533771,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.18668741,-78.51543282,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.23091729,-78.53552838,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.27524913,-78.55562439,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.31968317,-78.57572084,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.36421964,-78.59581774,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.40885878,-78.61591509,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.45360082,-78.63601289,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.498446,-78.65611115,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.54339456,-78.67620986,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.58844674,-78.69630904,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.63360277,-78.71640867,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.6788629,-78.73650877,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.72422736,-78.75660933,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.7696964,-78.77671036,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.81527026,-78.79681186,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.86094917,-78.81691383,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.90673339,-78.83701627,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
19.95262315,-78.85711919,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
